"filename", "language", "Dart", "comment", "blank", "total"
"/Users/kent/flutter_projects/macro_calculator/lib/controllers/data_controller.dart", "Dart", 105, 1, 18, 124
"/Users/kent/flutter_projects/macro_calculator/lib/controllers/theme_controller.dart", "Dart", 18, 0, 4, 22
"/Users/kent/flutter_projects/macro_calculator/lib/data/calculator.dart", "Dart", 121, 4, 12, 137
"/Users/kent/flutter_projects/macro_calculator/lib/l10n/minimal_l10n.dart", "Dart", 175, 4, 31, 210
"/Users/kent/flutter_projects/macro_calculator/lib/main.dart", "Dart", 56, 0, 3, 59
"/Users/kent/flutter_projects/macro_calculator/lib/pages/home_page.dart", "Dart", 229, 1, 6, 236
"/Users/kent/flutter_projects/macro_calculator/lib/pages/results_page.dart", "Dart", 116, 1, 8, 125
"/Users/kent/flutter_projects/macro_calculator/lib/utils/color_schemes.dart", "Dart", 9, 0, 3, 12
"/Users/kent/flutter_projects/macro_calculator/lib/utils/enums.dart", "Dart", 70, 3, 9, 82
"/Users/kent/flutter_projects/macro_calculator/lib/utils/helpers.dart", "Dart", 18, 0, 6, 24
"/Users/kent/flutter_projects/macro_calculator/lib/utils/number_format.dart", "Dart", 3, 0, 1, 4
"/Users/kent/flutter_projects/macro_calculator/lib/utils/textStyles.dart", "Dart", 34, 0, 8, 42
"/Users/kent/flutter_projects/macro_calculator/lib/widgets/footer_tile.dart", "Dart", 21, 0, 4, 25
"/Users/kent/flutter_projects/macro_calculator/lib/widgets/header_tile.dart", "Dart", 20, 0, 3, 23
"/Users/kent/flutter_projects/macro_calculator/lib/widgets/my_button.dart", "Dart", 56, 0, 3, 59
"/Users/kent/flutter_projects/macro_calculator/lib/widgets/my_drop_down_menu.dart", "Dart", 54, 0, 5, 59
"/Users/kent/flutter_projects/macro_calculator/lib/widgets/result_tile.dart", "Dart", 26, 0, 5, 31
"/Users/kent/flutter_projects/macro_calculator/lib/widgets/slider.dart", "Dart", 46, 4, 4, 54
"/Users/kent/flutter_projects/macro_calculator/lib/widgets/split_tile.dart", "Dart", 91, 0, 8, 99
"/Users/kent/flutter_projects/macro_calculator/lib/widgets/tile.dart", "Dart", 20, 0, 3, 23
"Total", "-", 1288, 18, 144, 1450